ncaa_team_id,espn_team_id
19233,2316
19305,2369
19331,2804
19364,2560
19614,2006
19615,333
19616,2026
19617,9
19618,12
19619,2032
19620,8
19621,2
19622,2050
19623,239
19624,68
19625,103
19626,189
19627,252
19628,2084
19629,278
19630,25
19631,26
19632,2116
19633,2117
19634,2132
19635,228
19636,36
19637,38
19638,41
19639,150
19640,151
19641,2199
19642,2226
19643,2229
19644,52
19645,57
19646,290
19647,2247
19648,59
19649,61
19650,62
19651,248
19652,70
19653,356
19654,84
19655,66
19656,2294
19657,2306
19658,2305
19659,2309
19660,96
19661,99
19662,2348
19663,97
19664,276
19665,120
19666,113
19667,235
19668,193
19669,2390
19670,127
19671,130
19672,2393
19673,135
19674,344
19675,145
19676,142
19677,153
19678,2429
19679,158
19680,2439
19681,2440
19682,166
19683,167
19684,152
19685,249
19686,2433
19687,2459
19688,77
19689,87
19690,194
19691,195
19692,197
19693,201
19694,295
19695,204
19696,2483
19697,213
19698,221
19699,2509
19700,242
19701,164
19702,21
19703,23
19704,6
19706,58
19707,30
19708,2567
19709,2572
19710,326
19711,309
19712,24
19713,183
19714,218
19715,2633
19716,245
19717,2628
19718,2641
19719,251
19720,2638
19721,2636
19722,2649
19723,2653
19724,2655
19725,202
19726,2005
19728,2426
19729,328
19730,254
19731,238
19732,259
19733,258
19734,154
19735,265
19736,264
19737,277
19738,98
19739,2711
19740,275
19741,2751
19742,2000
19745,399
19747,2046
19748,2127
19749,2065
19750,225
19751,2803
19752,2083
19753,2086
19754,13
19755,16
19756,302
19757,2097
19758,2115
19759,2643
19760,324
19761,2142
19762,171
19763,172
19764,159
19765,2166
19766,2168
19767,2169
19768,48
19769,2181
19770,2184
19771,2193
19772,2197
19773,2198
19774,331
19775,50
19776,2230
19777,231
19778,46
19779,2755
19780,2261
19781,108
19782,107
19783,2277
19784,47
19785,304
19786,2287
19787,282
19788,2296
19789,55
19790,294
19791,256
19792,322
19793,2320
19794,2329
19795,2335
19796,311
19797,2368
19798,2377
19799,2382
19800,2400
19801,2405
19802,147
19803,149
19804,2413
19805,2415
19806,93
19807,160
19808,2447
19809,2450
19810,2448
19811,2428
19812,2449
19813,155
19814,2464
19815,2458
19816,2460
19817,2466
19818,219
19819,2502
19820,2504
19821,163
19822,227
19823,257
19824,2523
19825,2529
19826,2598
19827,2534
19828,2535
19829,301
19830,2542
19831,2569
19832,2571
19833,233
19834,2546
19835,2545
19836,79
19837,2582
19838,253
19839,2623
19840,2617
19841,56
19842,2619
19843,2634
19844,2635
19845,236
19846,2630
19847,2640
19848,119
19849,2674
19850,222
19851,2678
19852,2681
19853,2692
19854,2717
19855,2710
19856,2729
19857,43
19858,2754
19859,2110
19860,2210
19861,2241
19862,338
19863,2506
19864,2029
19865,2916
19866,2747
62681,2006
62682,333
62683,5
62685,9
62686,12
62687,2032
62688,8
62689,2
62690,2050
62691,239
62692,68
62693,103
62694,189
62695,252
62696,2084
62697,278
62698,25
62699,26
62700,2116
62701,2117
62702,2132
62703,228
62704,36
62705,38
62706,41
62707,150
62708,151
62709,2199
62710,2226
62711,2229
62712,52
62713,57
62715,2247
62716,59
62717,61
62718,62
62719,248
62720,70
62721,356
62722,84
62723,66
62724,2294
62725,2306
62726,2305
62727,2309
62728,96
62729,99
62730,2348
62731,97
62732,276
62733,120
62734,113
62735,235
62736,193
62737,2390
62738,127
62739,130
62740,2393
62741,135
62742,344
62743,145
62744,142
62745,153
62746,158
62747,2439
62748,2440
62749,166
62750,167
62751,152
62752,249
62753,2433
62754,2459
62755,77
62757,194
62758,195
62759,197
62760,201
62761,295
62762,204
62763,2483
62764,213
62765,221
62766,2509
62767,242
62768,164
62769,21
62770,23
62771,6
62772,2579
62773,58
62774,30
62775,2567
62776,2572
62777,326
62778,309
62779,24
62780,183
62781,218
62782,2633
62783,245
62784,2628
62785,2641
62786,251
62787,2638
62788,2636
62789,2649
62790,2653
62791,2655
62792,202
62793,2005
62794,349
62795,2426
62796,328
62797,254
62798,238
62799,259
62800,258
62801,154
62802,265
62803,264
62804,277
62805,98
62806,2711
62807,275
62808,2751
62814,2046
62816,2065
62822,16
62838,2197
62840,331
62851,304
62853,282
62872,93
62875,2447
62884,2466
62897,2542
