"Team","Conference","ID","Season"
"A&M-Corpus Christi","Southland",52488,"2009-10"
"Air Force","Mountain West",52439,"2009-10"
"Akron","MAC",52147,"2009-10"
"Alabama","SEC",52150,"2009-10"
"Alabama A&M","SWAC",52148,"2009-10"
"Alabama St.","SWAC",52149,"2009-10"
"Albany (NY)","America East",52152,"2009-10"
"Alcorn","SWAC",52153,"2009-10"
"American","Patriot",52154,"2009-10"
"App State","SoCon",52155,"2009-10"
"Arizona","Pac-12",52157,"2009-10"
"Arizona St.","Pac-12",52156,"2009-10"
"Ark.-Pine Bluff","SWAC",52480,"2009-10"
"Arkansas","SEC",52159,"2009-10"
"Arkansas St.","Sun Belt",52158,"2009-10"
"Army West Point","Patriot",52440,"2009-10"
"Auburn","SEC",52161,"2009-10"
"Austin Peay","OVC",52162,"2009-10"
"BYU","Mountain West",52173,"2009-10"
"Ball St.","MAC",52163,"2009-10"
"Baylor","Big 12",52165,"2009-10"
"Belmont","ASUN",52486,"2009-10"
"Bethune-Cookman","MEAC",52166,"2009-10"
"Binghamton","America East",52167,"2009-10"
"Boise St.","WAC",52168,"2009-10"
"Boston College","ACC",52169,"2009-10"
"Boston U.","America East",52170,"2009-10"
"Bowling Green","MAC",52171,"2009-10"
"Bradley","MVC",52172,"2009-10"
"Brown","Ivy League",52174,"2009-10"
"Bryant","NEC",52175,"2009-10"
"Bucknell","Patriot",52176,"2009-10"
"Buffalo","MAC",52177,"2009-10"
"Butler","Horizon",52178,"2009-10"
"CSU Bakersfield","-",52180,"2009-10"
"CSUN","Big West",52184,"2009-10"
"Cal Poly","Big West",52179,"2009-10"
"Cal St. Fullerton","Big West",52182,"2009-10"
"California","Pac-12",52187,"2009-10"
"Campbell","ASUN",52192,"2009-10"
"Canisius","MAAC",52193,"2009-10"
"Centenary (LA)","Summit League",52194,"2009-10"
"Central Ark.","Southland",52473,"2009-10"
"Central Conn. St.","NEC",52195,"2009-10"
"Central Mich.","MAC",52197,"2009-10"
"Charleston So.","Big South",52164,"2009-10"
"Charlotte","Atlantic 10",52320,"2009-10"
"Chattanooga","SoCon",52423,"2009-10"
"Chicago St.","GWC",52198,"2009-10"
"Cincinnati","Big East",52199,"2009-10"
"Clemson","ACC",52200,"2009-10"
"Cleveland St.","Horizon",52201,"2009-10"
"Coastal Carolina","Big South",52202,"2009-10"
"Col. of Charleston","SoCon",52474,"2009-10"
"Colgate","Patriot",52203,"2009-10"
"Colorado","Big 12",52205,"2009-10"
"Colorado St.","Mountain West",52204,"2009-10"
"Columbia","Ivy League",52206,"2009-10"
"Coppin St.","MEAC",52208,"2009-10"
"Cornell","Ivy League",52209,"2009-10"
"Creighton","MVC",52210,"2009-10"
"Dartmouth","Ivy League",52211,"2009-10"
"Davidson","SoCon",52212,"2009-10"
"Dayton","Atlantic 10",52213,"2009-10"
"DePaul","Big East",52214,"2009-10"
"Delaware","CAA",52216,"2009-10"
"Delaware St.","MEAC",52215,"2009-10"
"Denver","Sun Belt",52217,"2009-10"
"Detroit Mercy","Horizon",52218,"2009-10"
"Drake","MVC",52219,"2009-10"
"Drexel","CAA",52220,"2009-10"
"Duke","ACC",52221,"2009-10"
"Duquesne","Atlantic 10",52222,"2009-10"
"ETSU","ASUN",52224,"2009-10"
"East Carolina","C-USA",52223,"2009-10"
"Eastern Ill.","OVC",52225,"2009-10"
"Eastern Ky.","OVC",52226,"2009-10"
"Eastern Mich.","MAC",52227,"2009-10"
"Eastern Wash.","Big Sky",52228,"2009-10"
"Elon","SoCon",52475,"2009-10"
"Evansville","MVC",52229,"2009-10"
"FGCU","ASUN",52490,"2009-10"
"FIU","Sun Belt",52234,"2009-10"
"Fairfield","MAAC",52230,"2009-10"
"Fairleigh Dickinson","NEC",52231,"2009-10"
"Fla. Atlantic","Sun Belt",52233,"2009-10"
"Florida","SEC",52236,"2009-10"
"Florida A&M","MEAC",52232,"2009-10"
"Florida St.","ACC",52235,"2009-10"
"Fordham","Atlantic 10",52237,"2009-10"
"Fresno St.","WAC",52181,"2009-10"
"Furman","SoCon",52238,"2009-10"
"Ga. Southern","SoCon",52242,"2009-10"
"Gardner-Webb","Big South",52476,"2009-10"
"George Mason","CAA",52239,"2009-10"
"George Washington","Atlantic 10",52240,"2009-10"
"Georgetown","Big East",52241,"2009-10"
"Georgia","SEC",52245,"2009-10"
"Georgia St.","CAA",52243,"2009-10"
"Georgia Tech","ACC",52244,"2009-10"
"Gonzaga","WCC",52246,"2009-10"
"Grambling","SWAC",52247,"2009-10"
"Green Bay","Horizon",52465,"2009-10"
"Hampton","MEAC",52248,"2009-10"
"Hartford","America East",52249,"2009-10"
"Harvard","Ivy League",52250,"2009-10"
"Hawaii","WAC",52251,"2009-10"
"High Point","Big South",52487,"2009-10"
"Hofstra","CAA",52252,"2009-10"
"Holy Cross","Patriot",52253,"2009-10"
"Houston","C-USA",52255,"2009-10"
"Houston Baptist","GWC",52254,"2009-10"
"Howard","MEAC",52256,"2009-10"
"IUPUI","Summit League",52481,"2009-10"
"Idaho","WAC",52258,"2009-10"
"Idaho St.","Big Sky",52257,"2009-10"
"Illinois","Big Ten",52260,"2009-10"
"Illinois St.","MVC",52259,"2009-10"
"Indiana","Big Ten",52263,"2009-10"
"Indiana St.","MVC",52262,"2009-10"
"Iona","MAAC",52265,"2009-10"
"Iowa","Big Ten",52267,"2009-10"
"Iowa St.","Big 12",52266,"2009-10"
"Jackson St.","SWAC",52268,"2009-10"
"Jacksonville","ASUN",52270,"2009-10"
"Jacksonville St.","OVC",52269,"2009-10"
"James Madison","CAA",52271,"2009-10"
"Kansas","Big 12",52273,"2009-10"
"Kansas City","Summit League",52482,"2009-10"
"Kansas St.","Big 12",52272,"2009-10"
"Kennesaw St.","ASUN",52477,"2009-10"
"Kent St.","MAC",52274,"2009-10"
"Kentucky","SEC",52275,"2009-10"
"LIU","NEC",52281,"2009-10"
"LMU (CA)","WCC",52287,"2009-10"
"LSU","SEC",52283,"2009-10"
"La Salle","Atlantic 10",52276,"2009-10"
"Lafayette","Patriot",52277,"2009-10"
"Lamar University","Southland",52278,"2009-10"
"Lehigh","Patriot",52279,"2009-10"
"Liberty","Big South",52280,"2009-10"
"Lipscomb","ASUN",52489,"2009-10"
"Little Rock","Sun Belt",52160,"2009-10"
"Long Beach St.","Big West",52183,"2009-10"
"Longwood","-",52282,"2009-10"
"Louisiana","Sun Belt",52414,"2009-10"
"Louisiana Tech","WAC",52284,"2009-10"
"Louisville","Big East",52285,"2009-10"
"Loyola Chicago","Horizon",52288,"2009-10"
"Loyola Maryland","MAAC",52286,"2009-10"
"Maine","America East",52289,"2009-10"
"Manhattan","MAAC",52290,"2009-10"
"Marist","MAAC",52291,"2009-10"
"Marquette","Big East",52292,"2009-10"
"Marshall","C-USA",52293,"2009-10"
"Maryland","ACC",52295,"2009-10"
"Massachusetts","Atlantic 10",52297,"2009-10"
"McNeese","Southland",52298,"2009-10"
"Memphis","C-USA",52299,"2009-10"
"Mercer","ASUN",52300,"2009-10"
"Miami (FL)","ACC",52302,"2009-10"
"Miami (OH)","MAC",52301,"2009-10"
"Michigan","Big Ten",52304,"2009-10"
"Michigan St.","Big Ten",52303,"2009-10"
"Middle Tenn.","Sun Belt",52305,"2009-10"
"Milwaukee","Horizon",52467,"2009-10"
"Minnesota","Big Ten",52306,"2009-10"
"Mississippi St.","SEC",52307,"2009-10"
"Mississippi Val.","SWAC",52308,"2009-10"
"Missouri","Big 12",52310,"2009-10"
"Missouri St.","MVC",52412,"2009-10"
"Monmouth","NEC",52311,"2009-10"
"Montana","Big Sky",52313,"2009-10"
"Montana St.","Big Sky",52312,"2009-10"
"Morehead St.","OVC",52314,"2009-10"
"Morgan St.","MEAC",52315,"2009-10"
"Mount St. Mary's","NEC",52316,"2009-10"
"Murray St.","OVC",52317,"2009-10"
"N.C. A&T","MEAC",52334,"2009-10"
"N.C. Central","-",52335,"2009-10"
"NC State","ACC",52336,"2009-10"
"NJIT","GWC",52327,"2009-10"
"Navy","Patriot",52441,"2009-10"
"Nebraska","Big 12",52323,"2009-10"
"Nevada","WAC",52325,"2009-10"
"New Hampshire","America East",52326,"2009-10"
"New Mexico","Mountain West",52329,"2009-10"
"New Mexico St.","WAC",52328,"2009-10"
"New Orleans","Sun Belt",52330,"2009-10"
"Niagara","MAAC",52331,"2009-10"
"Nicholls","Southland",52332,"2009-10"
"Norfolk St.","MEAC",52333,"2009-10"
"North Carolina","ACC",52319,"2009-10"
"North Dakota","GWC",52338,"2009-10"
"North Dakota St.","Summit League",52337,"2009-10"
"North Florida","ASUN",52483,"2009-10"
"North Texas","Sun Belt",52339,"2009-10"
"Northeastern","CAA",52341,"2009-10"
"Northern Ariz.","Big Sky",52342,"2009-10"
"Northern Colo.","Big Sky",52343,"2009-10"
"Northern Ill.","MAC",52344,"2009-10"
"Northwestern","Big Ten",52347,"2009-10"
"Northwestern St.","Southland",52346,"2009-10"
"Notre Dame","Big East",52348,"2009-10"
"Oakland","Summit League",52349,"2009-10"
"Ohio","MAC",52351,"2009-10"
"Ohio St.","Big Ten",52350,"2009-10"
"Oklahoma","Big 12",52353,"2009-10"
"Oklahoma St.","Big 12",52352,"2009-10"
"Old Dominion","CAA",52354,"2009-10"
"Ole Miss","SEC",52309,"2009-10"
"Oral Roberts","Summit League",52355,"2009-10"
"Oregon","Pac-12",52357,"2009-10"
"Oregon St.","Pac-12",52356,"2009-10"
"Pacific","Big West",52358,"2009-10"
"Penn","Ivy League",52361,"2009-10"
"Penn St.","Big Ten",52360,"2009-10"
"Pepperdine","WCC",52362,"2009-10"
"Pittsburgh","Big East",52363,"2009-10"
"Portland","WCC",52365,"2009-10"
"Portland St.","Big Sky",52364,"2009-10"
"Prairie View","SWAC",52366,"2009-10"
"Presbyterian","Big South",52478,"2009-10"
"Princeton","Ivy League",52367,"2009-10"
"Providence","Big East",52368,"2009-10"
"Purdue","Big Ten",52369,"2009-10"
"Purdue Fort Wayne","Summit League",52264,"2009-10"
"Quinnipiac","NEC",52370,"2009-10"
"Radford","Big South",52371,"2009-10"
"Rhode Island","Atlantic 10",52372,"2009-10"
"Rice","C-USA",52373,"2009-10"
"Richmond","Atlantic 10",52374,"2009-10"
"Rider","MAAC",52375,"2009-10"
"Robert Morris","NEC",52376,"2009-10"
"Rutgers","Big East",52377,"2009-10"
"SFA","Southland",52416,"2009-10"
"SIUE","-",52407,"2009-10"
"SMU","C-USA",52408,"2009-10"
"Sacramento St.","Big Sky",52185,"2009-10"
"Sacred Heart","NEC",52378,"2009-10"
"Saint Francis (PA)","NEC",52381,"2009-10"
"Saint Joseph's","Atlantic 10",52383,"2009-10"
"Saint Louis","Atlantic 10",52384,"2009-10"
"Saint Mary's (CA)","WCC",52385,"2009-10"
"Saint Peter's","MAAC",52386,"2009-10"
"Sam Houston","Southland",52387,"2009-10"
"Samford","SoCon",52388,"2009-10"
"San Diego","WCC",52390,"2009-10"
"San Diego St.","Mountain West",52389,"2009-10"
