"Team","Conference","ID","Season"
"San Francisco","WCC",52391,"2009-10"
"San Jose St.","WAC",52392,"2009-10"
"Santa Clara","WCC",52393,"2009-10"
"Savannah St.","-",52394,"2009-10"
"Seattle U","-",52479,"2009-10"
"Seton Hall","Big East",52395,"2009-10"
"Siena","MAAC",52396,"2009-10"
"South Alabama","Sun Belt",52397,"2009-10"
"South Carolina","SEC",52399,"2009-10"
"South Carolina St.","MEAC",52398,"2009-10"
"South Dakota","GWC",52401,"2009-10"
"South Dakota St.","Summit League",52400,"2009-10"
"South Fla.","Big East",52402,"2009-10"
"Southeast Mo. St.","OVC",52403,"2009-10"
"Southeastern La.","Southland",52404,"2009-10"
"Southern California","Pac-12",52405,"2009-10"
"Southern Ill.","MVC",52406,"2009-10"
"Southern Miss.","C-USA",52409,"2009-10"
"Southern U.","SWAC",52410,"2009-10"
"Southern Utah","Summit League",52411,"2009-10"
"St. Bonaventure","Atlantic 10",52379,"2009-10"
"St. Francis Brooklyn","NEC",52380,"2009-10"
"St. John's (NY)","Big East",52382,"2009-10"
"Stanford","Pac-12",52415,"2009-10"
"Stetson","ASUN",52417,"2009-10"
"Stony Brook","America East",52418,"2009-10"
"Syracuse","Big East",52419,"2009-10"
"TCU","Mountain West",52427,"2009-10"
"Temple","Atlantic 10",52420,"2009-10"
"Tennessee","SEC",52424,"2009-10"
"Tennessee St.","OVC",52421,"2009-10"
"Tennessee Tech","OVC",52422,"2009-10"
"Texas","Big 12",52431,"2009-10"
"Texas A&M","Big 12",52426,"2009-10"
"Texas Southern","SWAC",52428,"2009-10"
"Texas St.","Southland",52413,"2009-10"
"Texas Tech","Big 12",52429,"2009-10"
"Toledo","MAC",52434,"2009-10"
"Towson","CAA",52435,"2009-10"
"Troy","Sun Belt",52436,"2009-10"
"Tulane","C-USA",52437,"2009-10"
"Tulsa","C-USA",52438,"2009-10"
"UAB","C-USA",52151,"2009-10"
"UC Davis","Big West",52188,"2009-10"
"UC Irvine","Big West",52189,"2009-10"
"UC Riverside","Big West",52191,"2009-10"
"UC Santa Barbara","Big West",52186,"2009-10"
"UCF","C-USA",52196,"2009-10"
"UCLA","Pac-12",52190,"2009-10"
"UConn","Big East",52207,"2009-10"
"UIC","Horizon",52261,"2009-10"
"ULM","Sun Belt",52340,"2009-10"
"UMBC","America East",52294,"2009-10"
"UMES","MEAC",52296,"2009-10"
"UNC Asheville","Big South",52318,"2009-10"
"UNC Greensboro","SoCon",52321,"2009-10"
"UNCW","CAA",52322,"2009-10"
"UNI","MVC",52345,"2009-10"
"UNLV","Mountain West",52324,"2009-10"
"USC Upstate","ASUN",52485,"2009-10"
"UT Arlington","Southland",52430,"2009-10"
"UT Martin","OVC",52425,"2009-10"
"UTEP","C-USA",52432,"2009-10"
"UTRGV","GWC",52359,"2009-10"
"UTSA","Southland",52433,"2009-10"
"Utah","Mountain West",52443,"2009-10"
"Utah St.","WAC",52442,"2009-10"
"Utah Valley","GWC",52491,"2009-10"
"VCU","CAA",52448,"2009-10"
"Valparaiso","Horizon",52444,"2009-10"
"Vanderbilt","SEC",52445,"2009-10"
"Vermont","America East",52446,"2009-10"
"Villanova","Big East",52447,"2009-10"
"Virginia","ACC",52450,"2009-10"
"Virginia Tech","ACC",52449,"2009-10"
"Wagner","NEC",52451,"2009-10"
"Wake Forest","ACC",52452,"2009-10"
"Washington","Pac-12",52454,"2009-10"
"Washington St.","Pac-12",52453,"2009-10"
"Weber St.","Big Sky",52455,"2009-10"
"West Virginia","Big East",52456,"2009-10"
"Western Caro.","SoCon",52457,"2009-10"
"Western Ill.","Summit League",52458,"2009-10"
"Western Ky.","Sun Belt",52459,"2009-10"
"Western Mich.","MAC",52460,"2009-10"
"Wichita St.","MVC",52461,"2009-10"
"William & Mary","CAA",52462,"2009-10"
"Winston-Salem","-",52463,"2009-10"
"Winthrop","Big South",52464,"2009-10"
"Wisconsin","Big Ten",52466,"2009-10"
"Wofford","SoCon",52484,"2009-10"
"Wright St.","Horizon",52468,"2009-10"
"Wyoming","Mountain West",52469,"2009-10"
"Xavier","Atlantic 10",52470,"2009-10"
"Yale","Ivy League",52471,"2009-10"
"Youngstown St.","Horizon",52472,"2009-10"
"A&M-Corpus Christi","Southland",55871,"2010-11"
"Air Force","Mountain West",55824,"2010-11"
"Akron","MAC",55532,"2010-11"
"Alabama","SEC",55535,"2010-11"
"Alabama A&M","SWAC",55533,"2010-11"
"Alabama St.","SWAC",55534,"2010-11"
"Albany (NY)","America East",55537,"2010-11"
"Alcorn","SWAC",55538,"2010-11"
"American","Patriot",55539,"2010-11"
"App State","SoCon",55540,"2010-11"
"Arizona","Pac-12",55542,"2010-11"
"Arizona St.","Pac-12",55541,"2010-11"
"Ark.-Pine Bluff","SWAC",55863,"2010-11"
"Arkansas","SEC",55544,"2010-11"
"Arkansas St.","Sun Belt",55543,"2010-11"
"Army West Point","Patriot",55825,"2010-11"
"Auburn","SEC",55546,"2010-11"
"Austin Peay","OVC",55547,"2010-11"
"BYU","Mountain West",55558,"2010-11"
"Ball St.","MAC",55548,"2010-11"
"Baylor","Big 12",55550,"2010-11"
"Belmont","ASUN",55869,"2010-11"
"Bethune-Cookman","MEAC",55551,"2010-11"
"Binghamton","America East",55552,"2010-11"
"Boise St.","WAC",55553,"2010-11"
"Boston College","ACC",55554,"2010-11"
"Boston U.","America East",55555,"2010-11"
"Bowling Green","MAC",55556,"2010-11"
"Bradley","MVC",55557,"2010-11"
"Brown","Ivy League",55559,"2010-11"
"Bryant","NEC",55560,"2010-11"
"Bucknell","Patriot",55561,"2010-11"
"Buffalo","MAC",55562,"2010-11"
"Butler","Horizon",55563,"2010-11"
"CSU Bakersfield","-",55565,"2010-11"
"CSUN","Big West",55569,"2010-11"
"Cal Poly","Big West",55564,"2010-11"
"Cal St. Fullerton","Big West",55567,"2010-11"
"California","Pac-12",55572,"2010-11"
"Campbell","ASUN",55577,"2010-11"
"Canisius","MAAC",55578,"2010-11"
"Centenary (LA)","Summit League",55579,"2010-11"
"Central Ark.","Southland",55857,"2010-11"
"Central Conn. St.","NEC",55580,"2010-11"
"Central Mich.","MAC",55582,"2010-11"
"Charleston So.","Big South",55549,"2010-11"
"Charlotte","Atlantic 10",55705,"2010-11"
"Chattanooga","SoCon",55808,"2010-11"
"Chicago St.","GWC",55583,"2010-11"
"Cincinnati","Big East",55584,"2010-11"
"Clemson","ACC",55585,"2010-11"
"Cleveland St.","Horizon",55586,"2010-11"
"Coastal Carolina","Big South",55587,"2010-11"
"Col. of Charleston","SoCon",55858,"2010-11"
"Colgate","Patriot",55588,"2010-11"
"Colorado","Big 12",55590,"2010-11"
"Colorado St.","Mountain West",55589,"2010-11"
"Columbia","Ivy League",55591,"2010-11"
"Coppin St.","MEAC",55593,"2010-11"
"Cornell","Ivy League",55594,"2010-11"
"Creighton","MVC",55595,"2010-11"
"Dartmouth","Ivy League",55596,"2010-11"
"Davidson","SoCon",55597,"2010-11"
"Dayton","Atlantic 10",55598,"2010-11"
"DePaul","Big East",55599,"2010-11"
"Delaware","CAA",55601,"2010-11"
"Delaware St.","MEAC",55600,"2010-11"
"Denver","Sun Belt",55602,"2010-11"
"Detroit Mercy","Horizon",55603,"2010-11"
"Drake","MVC",55604,"2010-11"
"Drexel","CAA",55605,"2010-11"
"Duke","ACC",55606,"2010-11"
"Duquesne","Atlantic 10",55607,"2010-11"
"ETSU","ASUN",55609,"2010-11"
"East Carolina","C-USA",55608,"2010-11"
"Eastern Ill.","OVC",55610,"2010-11"
"Eastern Ky.","OVC",55611,"2010-11"
"Eastern Mich.","MAC",55612,"2010-11"
"Eastern Wash.","Big Sky",55613,"2010-11"
"Elon","SoCon",55859,"2010-11"
"Evansville","MVC",55614,"2010-11"
"FGCU","ASUN",55873,"2010-11"
"FIU","Sun Belt",55619,"2010-11"
"Fairfield","MAAC",55615,"2010-11"
"Fairleigh Dickinson","NEC",55616,"2010-11"
"Fla. Atlantic","Sun Belt",55618,"2010-11"
"Florida","SEC",55621,"2010-11"
"Florida A&M","MEAC",55617,"2010-11"
"Florida St.","ACC",55620,"2010-11"
"Fordham","Atlantic 10",55622,"2010-11"
"Fresno St.","WAC",55566,"2010-11"
"Furman","SoCon",55623,"2010-11"
"Ga. Southern","SoCon",55627,"2010-11"
"Gardner-Webb","Big South",55860,"2010-11"
"George Mason","CAA",55624,"2010-11"
"George Washington","Atlantic 10",55625,"2010-11"
"Georgetown","Big East",55626,"2010-11"
"Georgia","SEC",55630,"2010-11"
"Georgia St.","CAA",55628,"2010-11"
"Georgia Tech","ACC",55629,"2010-11"
"Gonzaga","WCC",55631,"2010-11"
"Grambling","SWAC",55632,"2010-11"
"Green Bay","Horizon",55849,"2010-11"
"Hampton","MEAC",55633,"2010-11"
"Hartford","America East",55634,"2010-11"
"Harvard","Ivy League",55635,"2010-11"
"Hawaii","WAC",55636,"2010-11"
"High Point","Big South",55870,"2010-11"
"Hofstra","CAA",55637,"2010-11"
"Holy Cross","Patriot",55638,"2010-11"
"Houston","C-USA",55640,"2010-11"
"Houston Baptist","GWC",55639,"2010-11"
"Howard","MEAC",55641,"2010-11"
"IUPUI","Summit League",55864,"2010-11"
"Idaho","WAC",55643,"2010-11"
"Idaho St.","Big Sky",55642,"2010-11"
"Illinois","Big Ten",55645,"2010-11"
"Illinois St.","MVC",55644,"2010-11"
"Indiana","Big Ten",55648,"2010-11"
"Indiana St.","MVC",55647,"2010-11"
"Iona","MAAC",55650,"2010-11"
"Iowa","Big Ten",55652,"2010-11"
"Iowa St.","Big 12",55651,"2010-11"
"Jackson St.","SWAC",55653,"2010-11"
"Jacksonville","ASUN",55655,"2010-11"
"Jacksonville St.","OVC",55654,"2010-11"
"James Madison","CAA",55656,"2010-11"
"Kansas","Big 12",55658,"2010-11"
"Kansas City","Summit League",55865,"2010-11"
"Kansas St.","Big 12",55657,"2010-11"
"Kennesaw St.","ASUN",55861,"2010-11"
"Kent St.","MAC",55659,"2010-11"
"Kentucky","SEC",55660,"2010-11"
"LIU","NEC",55666,"2010-11"
"LMU (CA)","WCC",55672,"2010-11"
"LSU","SEC",55668,"2010-11"
"La Salle","Atlantic 10",55661,"2010-11"
"Lafayette","Patriot",55662,"2010-11"
"Lamar University","Southland",55663,"2010-11"
"Lehigh","Patriot",55664,"2010-11"
"Liberty","Big South",55665,"2010-11"
"Lipscomb","ASUN",55872,"2010-11"
"Little Rock","Sun Belt",55545,"2010-11"
"Long Beach St.","Big West",55568,"2010-11"
"Longwood","-",55667,"2010-11"
"Louisiana","Sun Belt",55799,"2010-11"
"Louisiana Tech","WAC",55669,"2010-11"
"Louisville","Big East",55670,"2010-11"
"Loyola Chicago","Horizon",55673,"2010-11"
"Loyola Maryland","MAAC",55671,"2010-11"
"Maine","America East",55674,"2010-11"
"Manhattan","MAAC",55675,"2010-11"
"Marist","MAAC",55676,"2010-11"
"Marquette","Big East",55677,"2010-11"
"Marshall","C-USA",55678,"2010-11"
"Maryland","ACC",55680,"2010-11"
"Massachusetts","Atlantic 10",55682,"2010-11"
"McNeese","Southland",55683,"2010-11"
"Memphis","C-USA",55684,"2010-11"
"Mercer","ASUN",55685,"2010-11"
"Miami (FL)","ACC",55687,"2010-11"
"Miami (OH)","MAC",55686,"2010-11"
"Michigan","Big Ten",55689,"2010-11"
"Michigan St.","Big Ten",55688,"2010-11"
"Middle Tenn.","Sun Belt",55690,"2010-11"
"Milwaukee","Horizon",55851,"2010-11"
"Minnesota","Big Ten",55691,"2010-11"
"Mississippi St.","SEC",55692,"2010-11"
"Mississippi Val.","SWAC",55693,"2010-11"
"Missouri","Big 12",55695,"2010-11"
"Missouri St.","MVC",55797,"2010-11"
"Monmouth","NEC",55696,"2010-11"
"Montana","Big Sky",55698,"2010-11"
"Montana St.","Big Sky",55697,"2010-11"
"Morehead St.","OVC",55699,"2010-11"
"Morgan St.","MEAC",55700,"2010-11"
"Mount St. Mary's","NEC",55701,"2010-11"
"Murray St.","OVC",55702,"2010-11"
"N.C. A&T","MEAC",55719,"2010-11"
"N.C. Central","-",55720,"2010-11"
"NC State","ACC",55721,"2010-11"
"NJIT","GWC",55712,"2010-11"
"Navy","Patriot",55826,"2010-11"
"Nebraska","Big 12",55708,"2010-11"
"Nevada","WAC",55710,"2010-11"
"New Hampshire","America East",55711,"2010-11"
"New Mexico","Mountain West",55714,"2010-11"
"New Mexico St.","WAC",55713,"2010-11"
"New Orleans","-",55715,"2010-11"
"Niagara","MAAC",55716,"2010-11"
"Nicholls","Southland",55717,"2010-11"
"Norfolk St.","MEAC",55718,"2010-11"
"North Carolina","ACC",55704,"2010-11"
"North Dakota","GWC",55723,"2010-11"
"North Dakota St.","Summit League",55722,"2010-11"
"North Florida","ASUN",55866,"2010-11"
"North Texas","Sun Belt",55724,"2010-11"
"Northeastern","CAA",55726,"2010-11"
"Northern Ariz.","Big Sky",55727,"2010-11"
"Northern Colo.","Big Sky",55728,"2010-11"
"Northern Ill.","MAC",55729,"2010-11"
"Northwestern","Big Ten",55732,"2010-11"
"Northwestern St.","Southland",55731,"2010-11"
"Notre Dame","Big East",55733,"2010-11"
"Oakland","Summit League",55734,"2010-11"
"Ohio","MAC",55736,"2010-11"
"Ohio St.","Big Ten",55735,"2010-11"
"Oklahoma","Big 12",55738,"2010-11"
"Oklahoma St.","Big 12",55737,"2010-11"
"Old Dominion","CAA",55739,"2010-11"
"Ole Miss","SEC",55694,"2010-11"
"Oral Roberts","Summit League",55740,"2010-11"
"Oregon","Pac-12",55742,"2010-11"
"Oregon St.","Pac-12",55741,"2010-11"
"Pacific","Big West",55743,"2010-11"
"Penn","Ivy League",55746,"2010-11"
"Penn St.","Big Ten",55745,"2010-11"
"Pepperdine","WCC",55747,"2010-11"
"Pittsburgh","Big East",55748,"2010-11"
"Portland","WCC",55750,"2010-11"
"Portland St.","Big Sky",55749,"2010-11"
"Prairie View","SWAC",55751,"2010-11"
"Presbyterian","Big South",223989,"2010-11"
"Princeton","Ivy League",55752,"2010-11"
"Providence","Big East",55753,"2010-11"
"Purdue","Big Ten",55754,"2010-11"
"Purdue Fort Wayne","Summit League",55649,"2010-11"
"Quinnipiac","NEC",55755,"2010-11"
"Radford","Big South",55756,"2010-11"
"Rhode Island","Atlantic 10",55757,"2010-11"
"Rice","C-USA",55758,"2010-11"
"Richmond","Atlantic 10",55759,"2010-11"
"Rider","MAAC",55760,"2010-11"
"Robert Morris","NEC",55761,"2010-11"
"Rutgers","Big East",55762,"2010-11"
"SFA","Southland",55801,"2010-11"
"SIUE","-",55792,"2010-11"
"SMU","C-USA",55793,"2010-11"
"Sacramento St.","Big Sky",55570,"2010-11"
"Sacred Heart","NEC",55763,"2010-11"
"Saint Francis (PA)","NEC",55766,"2010-11"
"Saint Joseph's","Atlantic 10",55768,"2010-11"
"Saint Louis","Atlantic 10",55769,"2010-11"
"Saint Mary's (CA)","WCC",55770,"2010-11"
"Saint Peter's","MAAC",55771,"2010-11"
"Sam Houston","Southland",55772,"2010-11"
"Samford","SoCon",55773,"2010-11"
"San Diego","WCC",55775,"2010-11"
"San Diego St.","Mountain West",55774,"2010-11"
"San Francisco","WCC",55776,"2010-11"
"San Jose St.","WAC",55777,"2010-11"
"Santa Clara","WCC",55778,"2010-11"
"Savannah St.","-",55779,"2010-11"
"Seattle U","-",55862,"2010-11"
"Seton Hall","Big East",55780,"2010-11"
"Siena","MAAC",55781,"2010-11"
"South Alabama","Sun Belt",55782,"2010-11"
"South Carolina","SEC",55784,"2010-11"
"South Carolina St.","MEAC",55783,"2010-11"
"South Dakota","GWC",55786,"2010-11"
"South Dakota St.","Summit League",55785,"2010-11"
"South Fla.","Big East",55787,"2010-11"
"Southeast Mo. St.","OVC",55788,"2010-11"
"Southeastern La.","Southland",55789,"2010-11"
"Southern California","Pac-12",55790,"2010-11"
"Southern Ill.","MVC",55791,"2010-11"
"Southern Miss.","C-USA",55794,"2010-11"
"Southern U.","SWAC",55795,"2010-11"
"Southern Utah","Summit League",55796,"2010-11"
"St. Bonaventure","Atlantic 10",55764,"2010-11"
"St. Francis Brooklyn","NEC",55765,"2010-11"
"St. John's (NY)","Big East",55767,"2010-11"
"Stanford","Pac-12",55800,"2010-11"
"Stetson","ASUN",55802,"2010-11"
"Stony Brook","America East",55803,"2010-11"
"Syracuse","Big East",55804,"2010-11"
"TCU","Mountain West",55812,"2010-11"
"Temple","Atlantic 10",55805,"2010-11"
"Tennessee","SEC",55809,"2010-11"
"Tennessee St.","OVC",55806,"2010-11"
"Tennessee Tech","OVC",55807,"2010-11"
"Texas","Big 12",55816,"2010-11"
"Texas A&M","Big 12",55811,"2010-11"
"Texas Southern","SWAC",55813,"2010-11"
"Texas St.","Southland",55798,"2010-11"
"Texas Tech","Big 12",55814,"2010-11"
