"Team","Conference","ID","Season"
"Drexel","CAA",609719,"2025-26"
"Duke","ACC",609720,"2025-26"
"Duquesne","Atlantic 10",609551,"2025-26"
"ETSU","SoCon",609722,"2025-26"
"East Carolina","AAC",609721,"2025-26"
"East Texas A&M","Southland",609533,"2025-26"
"Eastern Ill.","OVC",609723,"2025-26"
"Eastern Ky.","ASUN",609724,"2025-26"
"Eastern Mich.","MAC",609725,"2025-26"
"Eastern Wash.","Big Sky",609726,"2025-26"
"Elon","CAA",609595,"2025-26"
"Evansville","MVC",609727,"2025-26"
"FDU","NEC",609729,"2025-26"
"FGCU","ASUN",609611,"2025-26"
"FIU","C-USA",609732,"2025-26"
"Fairfield","MAAC",609728,"2025-26"
"Fla. Atlantic","AAC",609731,"2025-26"
"Florida","SEC",609734,"2025-26"
"Florida A&M","SWAC",609730,"2025-26"
"Florida St.","ACC",609733,"2025-26"
"Fordham","Atlantic 10",609735,"2025-26"
"Fresno St.","MWC",609646,"2025-26"
"Furman","SoCon",609736,"2025-26"
"Ga. Southern","Sun Belt",609740,"2025-26"
"Gardner-Webb","Big South",609596,"2025-26"
"George Mason","Atlantic 10",609737,"2025-26"
"George Washington","Atlantic 10",609738,"2025-26"
"Georgetown","Big East",609739,"2025-26"
"Georgia","SEC",609743,"2025-26"
"Georgia St.","Sun Belt",609741,"2025-26"
"Georgia Tech","ACC",609742,"2025-26"
"Gonzaga","WCC",609744,"2025-26"
"Grambling","SWAC",609552,"2025-26"
"Grand Canyon","MWC",609540,"2025-26"
"Green Bay","Horizon",609525,"2025-26"
"Hampton","CAA",609745,"2025-26"
"Harvard","Ivy League",609746,"2025-26"
"Hawaii","Big West",609747,"2025-26"
"High Point","Big South",609608,"2025-26"
"Hofstra","CAA",609748,"2025-26"
"Holy Cross","Patriot",609749,"2025-26"
"Houston","Big 12",609752,"2025-26"
"Houston Christian","Southland",609750,"2025-26"
"Howard","MEAC",609553,"2025-26"
"IU Indy","Horizon",609601,"2025-26"
"Idaho","Big Sky",609756,"2025-26"
"Idaho St.","Big Sky",609753,"2025-26"
"Illinois","Big Ten",609554,"2025-26"
"Illinois St.","MVC",609758,"2025-26"
"Indiana","Big Ten",609574,"2025-26"
"Indiana St.","MVC",609573,"2025-26"
"Iona","MAAC",609576,"2025-26"
"Iowa","Big Ten",609577,"2025-26"
"Iowa St.","Big 12",609536,"2025-26"
"Jackson St.","SWAC",609578,"2025-26"
"Jacksonville","ASUN",609580,"2025-26"
"Jacksonville St.","C-USA",609579,"2025-26"
"James Madison","Sun Belt",609537,"2025-26"
"Kansas","Big 12",609582,"2025-26"
"Kansas City","Summit League",609602,"2025-26"
"Kansas St.","Big 12",609581,"2025-26"
"Kennesaw St.","C-USA",609597,"2025-26"
"Kent St.","MAC",609583,"2025-26"
"Kentucky","SEC",609584,"2025-26"
"LIU","NEC",609590,"2025-26"
"LMU (CA)","WCC",609653,"2025-26"
"LSU","SEC",609591,"2025-26"
"La Salle","Atlantic 10",609585,"2025-26"
"Lafayette","Patriot",609586,"2025-26"
"Lamar University","Southland",609587,"2025-26"
"Le Moyne","NEC",609570,"2025-26"
"Lehigh","Patriot",609588,"2025-26"
"Liberty","C-USA",609589,"2025-26"
"Lindenwood","OVC",609572,"2025-26"
"Lipscomb","ASUN",609610,"2025-26"
"Little Rock","OVC",609626,"2025-26"
"Long Beach St.","Big West",609544,"2025-26"
"Longwood","Big South",609538,"2025-26"
"Louisiana","Sun Belt",609478,"2025-26"
"Louisiana Tech","C-USA",609592,"2025-26"
"Louisville","ACC",609593,"2025-26"
"Loyola Chicago","Atlantic 10",609654,"2025-26"
"Loyola Maryland","Patriot",609652,"2025-26"
"Maine","America East",609655,"2025-26"
"Manhattan","MAAC",609656,"2025-26"
"Marist","MAAC",609657,"2025-26"
"Marquette","Big East",609658,"2025-26"
"Marshall","Sun Belt",609659,"2025-26"
"Maryland","Big Ten",609661,"2025-26"
"Massachusetts","MAC",609663,"2025-26"
"McNeese","Southland",609545,"2025-26"
"Memphis","AAC",609664,"2025-26"
"Mercer","SoCon",609665,"2025-26"
"Mercyhurst","NEC",609568,"2025-26"
"Merrimack","MAAC",609880,"2025-26"
"Miami (FL)","ACC",609667,"2025-26"
"Miami (OH)","MAC",609666,"2025-26"
"Michigan","Big Ten",609669,"2025-26"
"Michigan St.","Big Ten",609668,"2025-26"
"Middle Tenn.","C-USA",609670,"2025-26"
"Milwaukee","Horizon",609527,"2025-26"
"Minnesota","Big Ten",609671,"2025-26"
"Mississippi St.","SEC",609672,"2025-26"
"Mississippi Val.","SWAC",609673,"2025-26"
"Missouri","SEC",609675,"2025-26"
"Missouri St.","C-USA",609476,"2025-26"
"Monmouth","CAA",609676,"2025-26"
"Montana","Big Sky",609677,"2025-26"
"Montana St.","Big Sky",609546,"2025-26"
"Morehead St.","OVC",609547,"2025-26"
"Morgan St.","MEAC",609678,"2025-26"
"Mount St. Mary's","MAAC",609679,"2025-26"
"Murray St.","MVC",609680,"2025-26"
"N.C. A&T","CAA",609775,"2025-26"
"N.C. Central","MEAC",609777,"2025-26"
"NC State","ACC",609556,"2025-26"
"NIU","MAC",609792,"2025-26"
"NJIT","America East",609764,"2025-26"
"Navy","Patriot",609504,"2025-26"
"Nebraska","Big Ten",609686,"2025-26"
"Nevada","MWC",609689,"2025-26"
"New Hampshire","America East",609762,"2025-26"
"New Haven","NEC",610406,"2025-26"
"New Mexico","MWC",609555,"2025-26"
"New Mexico St.","C-USA",609765,"2025-26"
"New Orleans","Southland",609767,"2025-26"
"Niagara","MAAC",609769,"2025-26"
"Nicholls","Southland",609771,"2025-26"
"Norfolk St.","MEAC",609773,"2025-26"
"North Ala.","ASUN",609613,"2025-26"
"North Carolina","ACC",609682,"2025-26"
"North Dakota","Summit League",609781,"2025-26"
"North Dakota St.","Summit League",609779,"2025-26"
"North Florida","ASUN",609603,"2025-26"
"North Texas","AAC",609783,"2025-26"
"Northeastern","CAA",609786,"2025-26"
"Northern Ariz.","Big Sky",609788,"2025-26"
"Northern Colo.","Big Sky",609790,"2025-26"
"Northern Ky.","Horizon",609796,"2025-26"
"Northwestern","Big Ten",609799,"2025-26"
"Northwestern St.","Southland",609797,"2025-26"
"Notre Dame","ACC",609801,"2025-26"
"Oakland","Horizon",609557,"2025-26"
"Ohio","MAC",609805,"2025-26"
"Ohio St.","Big Ten",609803,"2025-26"
"Oklahoma","SEC",609808,"2025-26"
"Oklahoma St.","Big 12",609807,"2025-26"
"Old Dominion","Sun Belt",609810,"2025-26"
"Ole Miss","SEC",609674,"2025-26"
"Omaha","Summit League",609687,"2025-26"
"Oral Roberts","Summit League",609812,"2025-26"
"Oregon","Big Ten",609558,"2025-26"
"Oregon St.","WCC",609813,"2025-26"
"Pacific","WCC",609815,"2025-26"
"Penn","Ivy League",609821,"2025-26"
"Penn St.","Big Ten",609819,"2025-26"
"Pepperdine","WCC",609822,"2025-26"
"Pittsburgh","ACC",609824,"2025-26"
"Portland","WCC",609828,"2025-26"
"Portland St.","Big Sky",609826,"2025-26"
"Prairie View","SWAC",609830,"2025-26"
"Presbyterian","Big South",609598,"2025-26"
"Princeton","Ivy League",609832,"2025-26"
"Providence","Big East",609834,"2025-26"
"Purdue","Big Ten",609836,"2025-26"
"Purdue Fort Wayne","Horizon",609575,"2025-26"
"Queens (NC)","ASUN",609571,"2025-26"
"Quinnipiac","MAAC",609838,"2025-26"
"Radford","Big South",609840,"2025-26"
"Rhode Island","Atlantic 10",609841,"2025-26"
"Rice","AAC",609843,"2025-26"
"Richmond","Atlantic 10",609845,"2025-26"
"Rider","MAAC",609848,"2025-26"
"Robert Morris","Horizon",609850,"2025-26"
"Rutgers","Big Ten",609851,"2025-26"
"SFA","Southland",609480,"2025-26"
"SIUE","OVC",609471,"2025-26"
"SMU","ACC",609472,"2025-26"
"Sacramento St.","Big Sky",609649,"2025-26"
"Sacred Heart","MAAC",609854,"2025-26"
"Saint Francis","NEC",609859,"2025-26"
"Saint Joseph's","Atlantic 10",609864,"2025-26"
"Saint Louis","Atlantic 10",609866,"2025-26"
"Saint Mary's (CA)","WCC",609559,"2025-26"
"Saint Peter's","MAAC",609560,"2025-26"
"Sam Houston","C-USA",609868,"2025-26"
"Samford","SoCon",609561,"2025-26"
"San Diego","WCC",609871,"2025-26"
"San Diego St.","MWC",609870,"2025-26"
"San Francisco","WCC",609874,"2025-26"
"San Jose St.","MWC",609876,"2025-26"
"Santa Clara","WCC",609891,"2025-26"
"Seattle U","WCC",609599,"2025-26"
"Seton Hall","Big East",609893,"2025-26"
"Siena","MAAC",609895,"2025-26"
"South Alabama","Sun Belt",609897,"2025-26"
"South Carolina","SEC",609901,"2025-26"
"South Carolina St.","MEAC",609899,"2025-26"
"South Dakota","Summit League",609903,"2025-26"
"South Dakota St.","Summit League",609562,"2025-26"
"South Fla.","AAC",609905,"2025-26"
"Southeast Mo. St.","OVC",609907,"2025-26"
"Southeastern La.","Southland",609909,"2025-26"
"Southern California","Big Ten",609469,"2025-26"
"Southern Ill.","MVC",609470,"2025-26"
"Southern Ind.","OVC",609534,"2025-26"
"Southern Miss.","Sun Belt",609473,"2025-26"
"Southern U.","SWAC",609474,"2025-26"
"Southern Utah","WAC",609475,"2025-26"
"St. Bonaventure","Atlantic 10",609856,"2025-26"
"St. John's (NY)","Big East",609861,"2025-26"
"St. Thomas (MN)","Summit League",609889,"2025-26"
"Stanford","ACC",609479,"2025-26"
"Stetson","ASUN",609563,"2025-26"
"Stonehill","NEC",609535,"2025-26"
"Stony Brook","CAA",609481,"2025-26"
"Syracuse","ACC",609482,"2025-26"
"TCU","Big 12",609490,"2025-26"
"Tarleton St.","WAC",609887,"2025-26"
"Temple","AAC",609483,"2025-26"
"Tennessee","SEC",609487,"2025-26"
"Tennessee St.","OVC",609484,"2025-26"
"Tennessee Tech","OVC",609485,"2025-26"
"Texas","SEC",609494,"2025-26"
"Texas A&M","SEC",609489,"2025-26"
"Texas Southern","SWAC",609491,"2025-26"
"Texas St.","Sun Belt",609477,"2025-26"
"Texas Tech","Big 12",609492,"2025-26"
"The Citadel","SoCon",609701,"2025-26"
"Toledo","MAC",609497,"2025-26"
"Towson","CAA",609498,"2025-26"
"Troy","Sun Belt",609499,"2025-26"
"Tulane","AAC",609500,"2025-26"
"Tulsa","AAC",609501,"2025-26"
"UAB","AAC",609542,"2025-26"
"UAlbany","America East",609618,"2025-26"
"UC Davis","Big West",609690,"2025-26"
"UC Irvine","Big West",609691,"2025-26"
"UC Riverside","Big West",609693,"2025-26"
"UC San Diego","Big West",609883,"2025-26"
"UC Santa Barbara","Big West",609650,"2025-26"
"UCF","Big 12",609697,"2025-26"
"UCLA","Big Ten",609692,"2025-26"
"UConn","Big East",609549,"2025-26"
"UIC","MVC",609759,"2025-26"
"UIW","Southland",609604,"2025-26"
"ULM","Sun Belt",609785,"2025-26"
"UMBC","America East",609660,"2025-26"
"UMES","MEAC",609662,"2025-26"
"UMass Lowell","America East",609594,"2025-26"
"UNC Asheville","Big South",609681,"2025-26"
"UNC Greensboro","SoCon",609684,"2025-26"
"UNCW","CAA",609685,"2025-26"
"UNI","MVC",609793,"2025-26"
"UNLV","MWC",609688,"2025-26"
"USC Upstate","Big South",609606,"2025-26"
"UT Arlington","WAC",609493,"2025-26"
"UT Martin","OVC",609488,"2025-26"
"UTEP","C-USA",609495,"2025-26"
"UTRGV","Southland",609817,"2025-26"
"UTSA","AAC",609496,"2025-26"
"Utah","Big 12",609506,"2025-26"
"Utah St.","MWC",609505,"2025-26"
"Utah Tech","WAC",609885,"2025-26"
"Utah Valley","WAC",609612,"2025-26"
"VCU","Atlantic 10",609510,"2025-26"
"VMI","SoCon",609511,"2025-26"
"Valparaiso","MVC",609507,"2025-26"
"Vanderbilt","SEC",609508,"2025-26"
"Vermont","America East",609564,"2025-26"
"Villanova","Big East",609509,"2025-26"
"Virginia","ACC",609513,"2025-26"
"Virginia Tech","ACC",609512,"2025-26"
"Wagner","NEC",609565,"2025-26"
"Wake Forest","ACC",609514,"2025-26"
"Washington","Big Ten",609516,"2025-26"
"Washington St.","WCC",609515,"2025-26"
"Weber St.","Big Sky",609517,"2025-26"
"West Ga.","ASUN",609569,"2025-26"
"West Virginia","Big 12",609518,"2025-26"
"Western Caro.","SoCon",609519,"2025-26"
"Western Ill.","OVC",609520,"2025-26"
"Western Ky.","C-USA",609566,"2025-26"
"Western Mich.","MAC",609521,"2025-26"
"Wichita St.","AAC",609522,"2025-26"
"William & Mary","CAA",609523,"2025-26"
"Winthrop","Big South",609524,"2025-26"
"Wisconsin","Big Ten",609526,"2025-26"
"Wofford","SoCon",609605,"2025-26"
"Wright St.","Horizon",609528,"2025-26"
"Wyoming","MWC",609529,"2025-26"
"Xavier","Big East",609530,"2025-26"
"Yale","Ivy League",609567,"2025-26"
"Youngstown St.","Horizon",609531,"2025-26"
"A&M-Corpus Christi","Southland",590505,"2024-25"
"Abilene Christian","WAC",590510,"2024-25"
"Air Force","MWC",590762,"2024-25"
"Akron","MAC",590801,"2024-25"
"Alabama","SEC",590513,"2024-25"
"Alabama A&M","SWAC",590511,"2024-25"
"Alabama St.","SWAC",590512,"2024-25"
"Alcorn","SWAC",590515,"2024-25"
"American","Patriot",590516,"2024-25"
"App State","Sun Belt",590517,"2024-25"
"Arizona","Big 12",590519,"2024-25"
"Arizona St.","Big 12",590518,"2024-25"
"Ark.-Pine Bluff","SWAC",590496,"2024-25"
"Arkansas","SEC",590521,"2024-25"
"Arkansas St.","Sun Belt",590520,"2024-25"
"Army West Point","Patriot",590763,"2024-25"
"Auburn","SEC",590803,"2024-25"
"Austin Peay","ASUN",590523,"2024-25"
"BYU","Big 12",590534,"2024-25"
"Ball St.","MAC",590524,"2024-25"
"Baylor","Big 12",590526,"2024-25"
"Bellarmine",NA,590714,"2024-25"
"Belmont","MVC",590503,"2024-25"
"Bethune-Cookman","SWAC",590527,"2024-25"
"Binghamton","America East",590528,"2024-25"
"Boise St.","MWC",590529,"2024-25"
"Boston College","ACC",590530,"2024-25"
"Boston U.","Patriot",590531,"2024-25"
"Bowling Green","MAC",590532,"2024-25"
"Bradley","MVC",590533,"2024-25"
"Brown","Ivy League",590535,"2024-25"
"Bryant","America East",590536,"2024-25"
"Bucknell","Patriot",590537,"2024-25"
"Buffalo","MAC",590538,"2024-25"
"Butler","Big East",590539,"2024-25"
"CSU Bakersfield","WAC",590541,"2024-25"
"CSUN","Big West",590544,"2024-25"
"Cal Poly","Big West",590540,"2024-25"
"Cal St. Fullerton","Big West",590543,"2024-25"
"California","ACC",590547,"2024-25"
"California Baptist",NA,590712,"2024-25"
"Campbell","CAA",590590,"2024-25"
"Canisius","MAAC",590591,"2024-25"
"Central Ark.","ASUN",590792,"2024-25"
"Central Conn. St.","NEC",590592,"2024-25"
"Central Mich.","MAC",590594,"2024-25"
"Charleston So.","Big South",590525,"2024-25"
"Charlotte","AAC",590579,"2024-25"
"Chattanooga","SoCon",590746,"2024-25"
"Chicago St.","NEC",590595,"2024-25"
"Cincinnati","Big 12",590596,"2024-25"
"Clemson","ACC",590598,"2024-25"
"Cleveland St.","Horizon",590599,"2024-25"
"Coastal Carolina","Sun Belt",590600,"2024-25"
"Col. of Charleston","CAA",590799,"2024-25"
"Colgate","Patriot",590808,"2024-25"
"Colorado","Big 12",590602,"2024-25"
"Colorado St.","MWC",590601,"2024-25"
"Columbia","Ivy League",590603,"2024-25"
"Coppin St.","MEAC",590604,"2024-25"
"Cornell","Ivy League",590605,"2024-25"
"Creighton","Big East",590606,"2024-25"
"Dartmouth","Ivy League",590607,"2024-25"
"Davidson","Atlantic 10",590608,"2024-25"
"Dayton","Atlantic 10",590609,"2024-25"
"DePaul","Big East",590610,"2024-25"
"Delaware","CAA",590612,"2024-25"
"Delaware St.","MEAC",590611,"2024-25"
"Denver","Summit League",590613,"2024-25"
"Detroit Mercy","Horizon",590614,"2024-25"
"Drake","MVC",590810,"2024-25"
"Drexel","CAA",590615,"2024-25"
"Duke","ACC",590616,"2024-25"
"Duquesne","Atlantic 10",590811,"2024-25"
"ETSU","SoCon",590618,"2024-25"
"East Carolina","AAC",590617,"2024-25"
"Eastern Ill.","OVC",590619,"2024-25"
"Eastern Ky.","ASUN",590620,"2024-25"
"Eastern Mich.","MAC",590621,"2024-25"
"Eastern Wash.","Big Sky",590622,"2024-25"
"Elon","CAA",590491,"2024-25"
"Evansville","MVC",590623,"2024-25"
"FGCU","ASUN",590507,"2024-25"
"FIU","C-USA",590628,"2024-25"
"Fairfield","MAAC",590624,"2024-25"
"Fairleigh Dickinson","NEC",590625,"2024-25"
"Fla. Atlantic","AAC",590627,"2024-25"
"Florida","SEC",590630,"2024-25"
"Florida A&M","SWAC",590626,"2024-25"
"Florida St.","ACC",590629,"2024-25"
"Fordham","Atlantic 10",590631,"2024-25"
"Fresno St.","MWC",590542,"2024-25"
"Furman","SoCon",590632,"2024-25"
"Ga. Southern","Sun Belt",590636,"2024-25"
"Gardner-Webb","Big South",590492,"2024-25"
"George Mason","Atlantic 10",590633,"2024-25"
"George Washington","Atlantic 10",590634,"2024-25"
"Georgetown","Big East",590635,"2024-25"
"Georgia","SEC",590639,"2024-25"
"Georgia St.","Sun Belt",590637,"2024-25"
"Georgia Tech","ACC",590638,"2024-25"
"Gonzaga","WCC",590640,"2024-25"
"Grambling","SWAC",590812,"2024-25"
"Grand Canyon","WAC",590800,"2024-25"
"Green Bay","Horizon",590785,"2024-25"
"Hampton","CAA",590641,"2024-25"
"Harvard","Ivy League",590642,"2024-25"
"Hawaii","Big West",590643,"2024-25"
"High Point","Big South",590504,"2024-25"
"Hofstra","CAA",590644,"2024-25"
"Holy Cross","Patriot",590645,"2024-25"
"Houston","Big 12",590647,"2024-25"
"Houston Christian","Southland",590646,"2024-25"
"Howard","MEAC",590813,"2024-25"
"IU Indy","Horizon",590497,"2024-25"
"Idaho","Big Sky",590649,"2024-25"
"Idaho St.","Big Sky",590648,"2024-25"
"Illinois","Big Ten",590814,"2024-25"
"Illinois St.","MVC",590650,"2024-25"
"Indiana","Big Ten",590470,"2024-25"
"Indiana St.","MVC",590469,"2024-25"
"Iona","MAAC",590472,"2024-25"
"Iowa","Big Ten",590473,"2024-25"
"Iowa St.","Big 12",590796,"2024-25"
"Jackson St.","SWAC",590474,"2024-25"
"Jacksonville","ASUN",590476,"2024-25"
"Jacksonville St.","C-USA",590475,"2024-25"
"James Madison","Sun Belt",590797,"2024-25"
"Kansas","Big 12",590478,"2024-25"
"Kansas City","WAC",590498,"2024-25"
"Kansas St.","Big 12",590477,"2024-25"
"Kennesaw St.","C-USA",590493,"2024-25"
"Kent St.","MAC",590479,"2024-25"
"Kentucky","SEC",590480,"2024-25"
"LIU","NEC",590486,"2024-25"
"LMU (CA)","WCC",590549,"2024-25"
"LSU","SEC",590487,"2024-25"
"La Salle","Atlantic 10",590481,"2024-25"
"Lafayette","Patriot",590482,"2024-25"
"Lamar University","WAC",590483,"2024-25"
"Le Moyne","NEC",590466,"2024-25"
"Lehigh","Patriot",590484,"2024-25"
"Liberty","C-USA",590485,"2024-25"
"Lindenwood","OVC",590468,"2024-25"
"Lipscomb","ASUN",590506,"2024-25"
"Little Rock","OVC",590522,"2024-25"
"Long Beach St.","Big West",590804,"2024-25"
"Longwood","Big South",590798,"2024-25"
"Louisiana","Sun Belt",590738,"2024-25"
"Louisiana Tech","C-USA",590488,"2024-25"
"Louisville","ACC",590489,"2024-25"
"Loyola Chicago","Atlantic 10",590550,"2024-25"
"Loyola Maryland","Patriot",590548,"2024-25"
"Maine","America East",590551,"2024-25"
"Manhattan","MAAC",590552,"2024-25"
"Marist","MAAC",590553,"2024-25"
"Marquette","Big East",590554,"2024-25"
"Marshall","Sun Belt",590555,"2024-25"
"Maryland","Big Ten",590557,"2024-25"
"Massachusetts","Atlantic 10",590559,"2024-25"
"McNeese","Southland",590805,"2024-25"
"Memphis","AAC",590560,"2024-25"
"Mercer","SoCon",590561,"2024-25"
"Mercyhurst","NEC",591002,"2024-25"
"Merrimack","MAAC",590713,"2024-25"
"Miami (FL)","ACC",590563,"2024-25"
"Miami (OH)","MAC",590562,"2024-25"
"Michigan","Big Ten",590565,"2024-25"
"Michigan St.","Big Ten",590564,"2024-25"
"Middle Tenn.","C-USA",590566,"2024-25"
"Milwaukee","Horizon",590787,"2024-25"
"Minnesota","Big Ten",590567,"2024-25"
"Mississippi St.","SEC",590568,"2024-25"
"Mississippi Val.","SWAC",590569,"2024-25"
"Missouri","SEC",590571,"2024-25"
"Missouri St.","MVC",590736,"2024-25"
"Monmouth","CAA",590572,"2024-25"
"Montana","Big Sky",590573,"2024-25"
"Montana St.","Big Sky",590806,"2024-25"
"Morehead St.","OVC",590807,"2024-25"
"Morgan St.","MEAC",590574,"2024-25"
"Mount St. Mary's","MAAC",590575,"2024-25"
"Murray St.","MVC",590576,"2024-25"
"N.C. A&T","CAA",590659,"2024-25"
"N.C. Central","MEAC",590660,"2024-25"
"NC State","ACC",590816,"2024-25"
"NIU","MAC",590668,"2024-25"
"NJIT","ASUN",590653,"2024-25"
"Navy","Patriot",590764,"2024-25"
"Nebraska","Big Ten",590582,"2024-25"
"Nevada","MWC",590585,"2024-25"
"New Hampshire","America East",590652,"2024-25"
"New Mexico","MWC",590815,"2024-25"
"New Mexico St.","C-USA",590654,"2024-25"
"New Orleans","Southland",590655,"2024-25"
"Niagara","MAAC",590656,"2024-25"
"Nicholls","Southland",590657,"2024-25"
"Norfolk St.","MEAC",590658,"2024-25"
"North Ala.",NA,590509,"2024-25"
"North Carolina","ACC",590578,"2024-25"
"North Dakota","Summit League",590662,"2024-25"
"North Dakota St.","Summit League",590661,"2024-25"
"North Florida","ASUN",590499,"2024-25"
"North Texas","AAC",590663,"2024-25"
"Northeastern","CAA",590665,"2024-25"
"Northern Ariz.","Big Sky",590666,"2024-25"
"Northern Colo.","Big Sky",590667,"2024-25"
"Northern Ky.","Horizon",590670,"2024-25"
"Northwestern","Big Ten",590672,"2024-25"
"Northwestern St.","Southland",590671,"2024-25"
"Notre Dame","ACC",590673,"2024-25"
"Oakland","Horizon",590817,"2024-25"
"Ohio","MAC",590675,"2024-25"
"Ohio St.","Big Ten",590674,"2024-25"
"Oklahoma","SEC",590677,"2024-25"
"Oklahoma St.","Big 12",590676,"2024-25"
"Old Dominion","Sun Belt",590678,"2024-25"
"Ole Miss","SEC",590570,"2024-25"
"Omaha","Summit League",590583,"2024-25"
"Oral Roberts","Summit League",590679,"2024-25"
"Oregon","Big Ten",590818,"2024-25"
"Oregon St.","WCC",590680,"2024-25"
"Pacific","WCC",590681,"2024-25"
"Penn","Ivy League",590684,"2024-25"
"Penn St.","Big Ten",590683,"2024-25"
"Pepperdine","WCC",590685,"2024-25"
"Pittsburgh","ACC",590686,"2024-25"
"Portland","WCC",590688,"2024-25"
"Portland St.","Big Sky",590687,"2024-25"
"Prairie View","SWAC",590689,"2024-25"
"Presbyterian","Big South",590494,"2024-25"
"Princeton","Ivy League",590690,"2024-25"
"Providence","Big East",590691,"2024-25"
"Purdue","Big Ten",590692,"2024-25"
"Purdue Fort Wayne","Summit League",590471,"2024-25"
"Queens (NC)","ASUN",590467,"2024-25"
"Quinnipiac","MAAC",590693,"2024-25"
"Radford","Big South",590694,"2024-25"
"Rhode Island","Atlantic 10",590695,"2024-25"
"Rice","AAC",590696,"2024-25"
"Richmond","Atlantic 10",590697,"2024-25"
"Rider","MAAC",590698,"2024-25"
"Robert Morris","NEC",590699,"2024-25"
"Rutgers","Big Ten",590700,"2024-25"
"SFA","Southland",590740,"2024-25"
"SIUE","OVC",590731,"2024-25"
"SMU","ACC",590732,"2024-25"
"Sacramento St.","Big Sky",590545,"2024-25"
"Sacred Heart","MAAC",590701,"2024-25"
"Saint Francis (PA)","NEC",590703,"2024-25"
"Saint Joseph's","Atlantic 10",590705,"2024-25"
"Saint Louis","Atlantic 10",590706,"2024-25"
"Saint Mary's (CA)","WCC",590819,"2024-25"
"Saint Peter's","MAAC",590820,"2024-25"
"Sam Houston","C-USA",590707,"2024-25"
"Samford","SoCon",590821,"2024-25"
"San Diego","WCC",590709,"2024-25"
"San Diego St.","MWC",590708,"2024-25"
"San Francisco","WCC",590710,"2024-25"
"San Jose St.","MWC",590711,"2024-25"
"Santa Clara","WCC",590719,"2024-25"
"Seattle U","WAC",590495,"2024-25"
"Seton Hall","Big East",590720,"2024-25"
"Siena","MAAC",590721,"2024-25"
"South Alabama","Sun Belt",590722,"2024-25"
"South Carolina","SEC",590724,"2024-25"
"South Carolina St.","MEAC",590723,"2024-25"
"South Dakota","Summit League",590725,"2024-25"
