"Team","Conference","ID","Season"
"A&M-Corpus Christi","Southland",609609,"2025-26"
"Abilene Christian","WAC",609614,"2025-26"
"Air Force","MWC",609502,"2025-26"
"Akron","MAC",609541,"2025-26"
"Alabama","SEC",609617,"2025-26"
"Alabama A&M","SWAC",609615,"2025-26"
"Alabama St.","SWAC",609616,"2025-26"
"Alcorn","SWAC",609619,"2025-26"
"American","Patriot",609620,"2025-26"
"App State","Sun Belt",609621,"2025-26"
"Arizona","Big 12",609623,"2025-26"
"Arizona St.","Big 12",609622,"2025-26"
"Ark.-Pine Bluff","SWAC",609600,"2025-26"
"Arkansas","SEC",609625,"2025-26"
"Arkansas St.","Sun Belt",609624,"2025-26"
"Army West Point","Patriot",609503,"2025-26"
"Auburn","SEC",609543,"2025-26"
"Austin Peay","ASUN",609627,"2025-26"
"BYU","Big 12",609638,"2025-26"
"Ball St.","MAC",609628,"2025-26"
"Baylor","Big 12",609630,"2025-26"
"Bellarmine","ASUN",609882,"2025-26"
"Belmont","MVC",609607,"2025-26"
"Bethune-Cookman","SWAC",609631,"2025-26"
"Binghamton","America East",609632,"2025-26"
"Boise St.","MWC",609633,"2025-26"
"Boston College","ACC",609634,"2025-26"
"Boston U.","Patriot",609635,"2025-26"
"Bowling Green","MAC",609636,"2025-26"
"Bradley","MVC",609637,"2025-26"
"Brown","Ivy League",609639,"2025-26"
"Bryant","America East",609640,"2025-26"
"Bucknell","Patriot",609641,"2025-26"
"Buffalo","MAC",609642,"2025-26"
"Butler","Big East",609643,"2025-26"
"CSU Bakersfield","Big West",609645,"2025-26"
"CSUN","Big West",609648,"2025-26"
"Cal Poly","Big West",609644,"2025-26"
"Cal St. Fullerton","Big West",609647,"2025-26"
"California","ACC",609651,"2025-26"
"California Baptist","WAC",609878,"2025-26"
"Campbell","CAA",609694,"2025-26"
"Canisius","MAAC",609695,"2025-26"
"Central Ark.","ASUN",609532,"2025-26"
"Central Conn. St.","NEC",609696,"2025-26"
"Central Mich.","MAC",609698,"2025-26"
"Charleston So.","Big South",609629,"2025-26"
"Charlotte","AAC",609683,"2025-26"
"Chattanooga","SoCon",609486,"2025-26"
"Chicago St.","NEC",609699,"2025-26"
"Cincinnati","Big 12",609700,"2025-26"
"Clemson","ACC",609702,"2025-26"
"Cleveland St.","Horizon",609703,"2025-26"
"Coastal Carolina","Sun Belt",609704,"2025-26"
"Col. of Charleston","CAA",609539,"2025-26"
"Colgate","Patriot",609548,"2025-26"
"Colorado","Big 12",609706,"2025-26"
"Colorado St.","MWC",609705,"2025-26"
"Columbia","Ivy League",609707,"2025-26"
"Coppin St.","MEAC",609708,"2025-26"
"Cornell","Ivy League",609709,"2025-26"
"Creighton","Big East",609710,"2025-26"
"Dartmouth","Ivy League",609711,"2025-26"
"Davidson","Atlantic 10",609712,"2025-26"
"Dayton","Atlantic 10",609713,"2025-26"
"DePaul","Big East",609714,"2025-26"
"Delaware","C-USA",609716,"2025-26"
"Delaware St.","MEAC",609715,"2025-26"
"Denver","Summit League",609717,"2025-26"
"Detroit Mercy","Horizon",609718,"2025-26"
"Drake","MVC",609550,"2025-26"
